judul,harga,gambar
Buku Mudah Membuat Laporan Keuangan (Panduan ...,68000,https://deepublishstore.com/wp-content/uploads/2022/12/WhatsApp-Image-2022-12-19-at-10.56.24-1-300x400.jpeg
Buku Mikro-Ekonometrika: Sebuah Pengantar,70000,https://deepublishstore.com/wp-content/uploads/2022/11/mikro-ekonomi-_1-300x400.png
Buku Pengantar Manajemen Bisnis Digital,258000,https://deepublishstore.com/wp-content/uploads/2022/06/Pengantar-Manajemen-Bisnis-Digital_Sekar-Outsource-depan-300x400.jpg
Buku Teknik Membuat Literature Review Bidang ...,93000,https://deepublishstore.com/wp-content/uploads/2021/08/Teknik-Membuat-Literature_Asyari-rev-1.0-depan-300x400.jpg
Buku Referensi Strategi Pemasaran 5.0,110000,https://deepublishstore.com/wp-content/uploads/2021/07/STRATEGI-PEMASARAN-5.0_Zulki-Zulkifli-Retno-Widyani_70gr_Convert_Depan-300x400.jpg
Buku Kewirausahaan dan Studi Kelayakan Bisnis...,134000,https://deepublishstore.com/wp-content/uploads/2021/05/Kewirausahaan-dan-Studi-Kelayakan_Apri-Winge-70gr-Convert-depan-300x400.jpg
Buku Literasi Keuangan Berbasis Fintech Bagi ...,296000,https://deepublishstore.com/wp-content/uploads/2020/11/LITERASI-KEUANGAN-BERBASIS-FINTECH_Christian-Herdinata-rev-2.0-depan-scaled-300x400.jpg
Buku Ekonomi Wilayah Untuk Perencanaan Tata R...,133000,https://deepublishstore.com/wp-content/uploads/2020/01/Ekonomi-Wilayah-Untuk-Perencanaan-Tata-Ruang_Retno-Widodo-depan-scaled-300x400.jpg
Buku Paradigma Masterpiece Keuangan Islam dan...,108000,https://deepublishstore.com/wp-content/uploads/2019/07/Paradigma-Masterpiece-Keuangan-Islam_Muhammad-Hadi-Asliah-depan-scaled-300x400.jpg
Buku Dasar Manajemen Konstruksi Proyek Jalan ...,114000,https://deepublishstore.com/wp-content/uploads/2018/12/Dasar-Manajemen-Konstruksi-Proyek-Jalan_Derry-Perdana-Munsil-revisi-2.0-Convert-depan-scaled-300x400.jpg
Buku Analytical Hierarchy Process (Ahp) Tekni...,204000,https://deepublishstore.com/wp-content/uploads/2018/12/Analytical-Hierarchy-Process-AHP-Apip-rev-1.0-Convert-depan-scaled-300x400.jpg
Buku Supply Chain Management,77500,https://deepublishstore.com/wp-content/uploads/2018/05/Supply-Chain-Management-Arif-Convert-depan-300x400.jpg
Buku Ajar Perekonomian Indonesia,140000,https://deepublishstore.com/wp-content/uploads/2018/04/Buku-Ajar-Perekonomian-Indonesia-Sattar-rev-1.0-Converrt-depan-300x400.jpg
Buku Statistika Ekonomi dan Bisnis,131000,https://deepublishstore.com/wp-content/uploads/2017/11/Statistika-Ekonomi-dan-bisnis-depan-scaled-300x400.jpg
Buku Sistem Pendukung Keputusan,101000,https://deepublishstore.com/wp-content/uploads/2017/10/sistem-pendukung-keputusan-convert-dpn1-300x400.jpg
Buku Manajemen Proyek Konstruksi,84000,https://deepublishstore.com/wp-content/uploads/2017/05/Manajemen-Proyek-Konstruksi-Convert-depan1-300x400.jpg
